Linux 6.10.8default-kernel (jeonghoon-MS-7D22) 	2025년 07월 29일 	_x86_64_	(12 CPU)

14시 44분 49초   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
14시 45분 35초  1000    391578         -   29.00  169.00    0.00    0.00  198.00     3  io_uring_udp_se
14시 45분 35초  1000         -    391578   29.00   69.00    0.00    0.00   98.00     3  |__io_uring_udp_se
14시 45분 35초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 36초  1000    391578         -   33.00  166.00    0.00    0.00  199.00     3  io_uring_udp_se
14시 45분 36초  1000         -    391578   33.00   66.00    0.00    0.00   99.00     3  |__io_uring_udp_se
14시 45분 36초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 37초  1000    391578         -   25.00  174.00    0.00    0.00  199.00     3  io_uring_udp_se
14시 45분 37초  1000         -    391578   25.00   74.00    0.00    0.00   99.00     3  |__io_uring_udp_se
14시 45분 37초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 38초  1000    391578         -   23.00  176.00    0.00    0.00  199.00     3  io_uring_udp_se
14시 45분 38초  1000         -    391578   23.00   76.00    0.00    0.00   99.00     3  |__io_uring_udp_se
14시 45분 38초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 39초  1000    391578         -   29.00  169.00    0.00    0.00  198.00     3  io_uring_udp_se
14시 45분 39초  1000         -    391578   29.00   69.00    0.00    0.00   98.00     3  |__io_uring_udp_se
14시 45분 39초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 40초  1000    391578         -   28.00  170.00    0.00    0.00  198.00     3  io_uring_udp_se
14시 45분 40초  1000         -    391578   28.00   70.00    0.00    0.00   98.00     3  |__io_uring_udp_se
14시 45분 40초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 41초  1000    391578         -   25.00  173.00    0.00    0.00  198.00     3  io_uring_udp_se
14시 45분 41초  1000         -    391578   24.00   74.00    0.00    0.00   98.00     3  |__io_uring_udp_se
14시 45분 41초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 42초  1000    391578         -   31.00  168.00    0.00    0.00  199.00     3  io_uring_udp_se
14시 45분 42초  1000         -    391578   32.00   68.00    0.00    0.00  100.00     3  |__io_uring_udp_se
14시 45분 42초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 43초  1000    391578         -   33.00  165.00    0.00    0.00  198.00     3  io_uring_udp_se
14시 45분 43초  1000         -    391578   32.00   65.00    0.00    0.00   97.00     3  |__io_uring_udp_se
14시 45분 43초  1000         -    391580    0.00   99.00    0.00    0.00   99.00     1  |__iou-sqp-391578
14시 45분 44초  1000    391578         -   36.00  163.00    0.00    0.00  199.00     3  io_uring_udp_se
14시 45분 44초  1000         -    391578   36.00   63.00    0.00    0.00   99.00     3  |__io_uring_udp_se
14시 45분 44초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 45초  1000    391578         -   34.00  165.00    0.00    0.00  199.00     3  io_uring_udp_se
14시 45분 45초  1000         -    391578   34.00   64.00    0.00    0.00   98.00     3  |__io_uring_udp_se
14시 45분 45초  1000         -    391580    0.00  101.00    0.00    0.00  101.00     1  |__iou-sqp-391578
14시 45분 46초  1000    391578         -   35.00  163.00    0.00    0.00  198.00     3  io_uring_udp_se
14시 45분 46초  1000         -    391578   36.00   64.00    0.00    0.00  100.00     3  |__io_uring_udp_se
14시 45분 46초  1000         -    391580    0.00   99.00    0.00    0.00   99.00     1  |__iou-sqp-391578
14시 45분 47초  1000    391578         -   15.00  184.00    0.00    0.00  199.00     3  io_uring_udp_se
14시 45분 47초  1000         -    391578   15.00   83.00    0.00    0.00   98.00     3  |__io_uring_udp_se
14시 45분 47초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 48초  1000    391578         -   11.00  187.00    0.00    0.00  198.00     3  io_uring_udp_se
14시 45분 48초  1000         -    391578   10.00   88.00    0.00    0.00   98.00     3  |__io_uring_udp_se
14시 45분 48초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 49초  1000    391578         -   19.00  179.00    0.00    0.00  198.00     3  io_uring_udp_se
14시 45분 49초  1000         -    391578   19.00   78.00    0.00    0.00   97.00     3  |__io_uring_udp_se
14시 45분 49초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 50초  1000    391578         -   18.00  180.00    0.00    0.00  198.00     3  io_uring_udp_se
14시 45분 50초  1000         -    391578   18.00   81.00    0.00    0.00   99.00     3  |__io_uring_udp_se
14시 45분 50초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 51초  1000    391578         -   21.00  178.00    0.00    0.00  199.00     3  io_uring_udp_se
14시 45분 51초  1000         -    391578   21.00   78.00    0.00    0.00   99.00     3  |__io_uring_udp_se
14시 45분 51초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 52초  1000    391578         -   18.00  180.00    0.00    0.00  198.00     3  io_uring_udp_se
14시 45분 52초  1000         -    391578   19.00   80.00    0.00    0.00   99.00     3  |__io_uring_udp_se
14시 45분 52초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 53초  1000    391578         -   19.00  179.00    0.00    0.00  198.00     3  io_uring_udp_se
14시 45분 53초  1000         -    391578   18.00   79.00    0.00    0.00   97.00     3  |__io_uring_udp_se
14시 45분 53초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 54초  1000    391578         -    6.00  192.00    0.00    0.00  198.00     3  io_uring_udp_se
14시 45분 54초  1000         -    391578    6.00   92.00    0.00    0.00   98.00     3  |__io_uring_udp_se
14시 45분 54초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 55초  1000    391578         -    9.00  189.00    0.00    0.00  198.00     3  io_uring_udp_se
14시 45분 55초  1000         -    391578    9.00   89.00    0.00    0.00   98.00     3  |__io_uring_udp_se
14시 45분 55초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 56초  1000    391578         -   19.00  179.00    0.00    0.00  198.00     3  io_uring_udp_se
14시 45분 56초  1000         -    391578   19.00   79.00    0.00    0.00   98.00     3  |__io_uring_udp_se
14시 45분 56초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 57초  1000    391578         -    9.00  188.00    0.00    0.00  197.00     3  io_uring_udp_se
14시 45분 57초  1000         -    391578    9.00   88.00    0.00    0.00   97.00     3  |__io_uring_udp_se
14시 45분 57초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 58초  1000    391578         -   15.00  184.00    0.00    0.00  199.00     3  io_uring_udp_se
14시 45분 58초  1000         -    391578   15.00   84.00    0.00    0.00   99.00     3  |__io_uring_udp_se
14시 45분 58초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 59초  1000    391578         -    9.00  188.00    0.00    0.00  197.00     3  io_uring_udp_se
14시 45분 59초  1000         -    391578    9.00   89.00    0.00    0.00   98.00     3  |__io_uring_udp_se
14시 45분 59초  1000         -    391580    0.00  100.00    0.00    1.00  100.00     1  |__iou-sqp-391578
14시 46분 00초  1000    391578         -    8.00  191.00    0.00    0.00  199.00     3  io_uring_udp_se
14시 46분 00초  1000         -    391578    8.00   90.00    0.00    0.00   98.00     3  |__io_uring_udp_se
14시 46분 00초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
