Linux 6.10.8adaptive-sq+ (jeonghoon-MS-7D22) 	2025년 07월 31일 	_x86_64_	(12 CPU)

11시 48분 04초   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
11시 48분 43초     0         -    118222    9.00   51.00    0.00    1.00   60.00     1  |__napi-busy-poll-
11시 48분 43초     0         -    118224    0.00   98.00    0.00    0.00   98.00     3  |__iou-sqp-118222
11시 48분 44초     0    118222         -    4.00  151.00    0.00    0.00  155.00     1  napi-busy-poll-
11시 48분 44초     0         -    118222    5.00   55.00    0.00    0.00   60.00     1  |__napi-busy-poll-
11시 48분 44초     0         -    118224    0.00   95.00    0.00    0.00   95.00     3  |__iou-sqp-118222
11시 48분 45초     0    118222         -    5.00  150.00    0.00    0.00  155.00     5  napi-busy-poll-
11시 48분 45초     0         -    118222    6.00   53.00    0.00    0.00   59.00     5  |__napi-busy-poll-
11시 48분 45초     0         -    118224    0.00   95.00    0.00    0.00   95.00     3  |__iou-sqp-118222
11시 48분 46초     0    118222         -    5.00  146.00    0.00    0.00  151.00     2  napi-busy-poll-
11시 48분 46초     0         -    118222    6.00   52.00    0.00    0.00   58.00     2  |__napi-busy-poll-
11시 48분 46초     0         -    118224    0.00   93.00    0.00    2.00   93.00     3  |__iou-sqp-118222
11시 48분 47초     0    118222         -    6.00  147.00    0.00    0.00  153.00     2  napi-busy-poll-
11시 48분 47초     0         -    118222    6.00   52.00    0.00    0.00   58.00     2  |__napi-busy-poll-
11시 48분 47초     0         -    118224    0.00   95.00    0.00    0.00   95.00     3  |__iou-sqp-118222
11시 48분 48초     0    118222         -    5.00  149.00    0.00    0.00  154.00     2  napi-busy-poll-
11시 48분 48초     0         -    118222    7.00   51.00    0.00    0.00   58.00     2  |__napi-busy-poll-
11시 48분 48초     0         -    118224    0.00   97.00    0.00    0.00   97.00     3  |__iou-sqp-118222
11시 48분 49초     0    118222         -    7.00  147.00    0.00    0.00  154.00     5  napi-busy-poll-
11시 48분 49초     0         -    118222    7.00   51.00    0.00    0.00   58.00     5  |__napi-busy-poll-
11시 48분 49초     0         -    118224    0.00   95.00    0.00    0.00   95.00     3  |__iou-sqp-118222
11시 48분 50초     0    118222         -    5.00  146.00    0.00    1.00  151.00     4  napi-busy-poll-
11시 48분 50초     0         -    118222    7.00   51.00    0.00    1.00   58.00     4  |__napi-busy-poll-
11시 48분 50초     0         -    118224    0.00   94.00    0.00    0.00   94.00     3  |__iou-sqp-118222
11시 48분 51초     0    118222         -    5.00  148.00    0.00    0.00  153.00     3  napi-busy-poll-
11시 48분 51초     0         -    118222    6.00   52.00    0.00    0.00   58.00     3  |__napi-busy-poll-
11시 48분 51초     0         -    118224    0.00   95.00    0.00    2.00   95.00     5  |__iou-sqp-118222
11시 48분 52초     0    118222         -    5.00  149.00    0.00    0.00  154.00     3  napi-busy-poll-
11시 48분 52초     0         -    118222    5.00   53.00    0.00    0.00   58.00     3  |__napi-busy-poll-
11시 48분 52초     0         -    118224    0.00   95.00    0.00    0.00   95.00     5  |__iou-sqp-118222
11시 48분 53초     0    118222         -    7.00  146.00    0.00    0.00  153.00     3  napi-busy-poll-
11시 48분 53초     0         -    118222    8.00   49.00    0.00    0.00   57.00     3  |__napi-busy-poll-
11시 48분 53초     0         -    118224    0.00   96.00    0.00    0.00   96.00     5  |__iou-sqp-118222
11시 48분 54초     0    118222         -    5.00  149.00    0.00    0.00  154.00     3  napi-busy-poll-
