Linux 6.10.8adaptive-sq+ (jeonghoon-MS-7D22) 	2025년 07월 31일 	_x86_64_	(12 CPU)

11시 56분 10초   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
11시 57분 03초     0    122222         -    5.00  154.00    0.00    0.00  159.00     1  napi-busy-poll-
11시 57분 03초     0         -    122222    5.00   53.00    0.00    0.00   58.00     1  |__napi-busy-poll-
11시 57분 03초     0         -    122224    0.00  100.00    0.00    0.00  100.00     0  |__iou-sqp-122222
11시 57분 04초     0    122222         -    4.00  153.00    0.00    0.00  157.00     1  napi-busy-poll-
11시 57분 04초     0         -    122222    5.00   53.00    0.00    0.00   58.00     1  |__napi-busy-poll-
11시 57분 04초     0         -    122224    0.00  100.00    0.00    0.00  100.00     0  |__iou-sqp-122222
11시 57분 05초     0    122222         -    5.00  149.00    0.00    1.00  154.00     0  napi-busy-poll-
11시 57분 05초     0         -    122222    6.00   52.00    0.00    1.00   58.00     0  |__napi-busy-poll-
11시 57분 05초     0         -    122224    0.00   96.00    0.00    3.00   96.00     4  |__iou-sqp-122222
11시 57분 06초     0    122222         -    4.00  154.00    0.00    0.00  158.00     4  napi-busy-poll-
11시 57분 06초     0         -    122222    5.00   55.00    0.00    0.00   60.00     4  |__napi-busy-poll-
11시 57분 06초     0         -    122224    0.00   97.00    0.00    3.00   97.00     2  |__iou-sqp-122222
11시 57분 07초     0    122222         -    7.00  151.00    0.00    0.00  158.00     2  napi-busy-poll-
11시 57분 07초     0         -    122222    9.00   53.00    0.00    0.00   62.00     2  |__napi-busy-poll-
11시 57분 07초     0         -    122224    0.00   97.00    0.00    3.00   97.00     1  |__iou-sqp-122222
11시 57분 08초     0    122222         -    5.00  154.00    0.00    0.00  159.00     1  napi-busy-poll-
11시 57분 08초     0         -    122222    5.00   55.00    0.00    0.00   60.00     1  |__napi-busy-poll-
11시 57분 08초     0         -    122224    0.00   99.00    0.00    2.00   99.00     3  |__iou-sqp-122222
11시 57분 09초     0    122222         -    5.00  155.00    0.00    0.00  160.00     1  napi-busy-poll-
11시 57분 09초     0         -    122222    7.00   54.00    0.00    0.00   61.00     1  |__napi-busy-poll-
11시 57분 09초     0         -    122224    0.00  100.00    0.00    0.00  100.00     3  |__iou-sqp-122222
11시 57분 10초     0    122222         -    6.00  154.00    0.00    1.00  160.00     3  napi-busy-poll-
11시 57분 10초     0         -    122222    7.00   54.00    0.00    1.00   61.00     3  |__napi-busy-poll-
11시 57분 10초     0         -    122224    0.00   98.00    0.00    1.00   98.00     0  |__iou-sqp-122222
11시 57분 11초     0    122222         -    7.00  153.00    0.00    0.00  160.00     4  napi-busy-poll-
11시 57분 11초     0         -    122222    8.00   52.00    0.00    0.00   60.00     4  |__napi-busy-poll-
11시 57분 11초     0         -    122224    0.00  100.00    0.00    0.00  100.00     0  |__iou-sqp-122222
