Linux 6.10.8nazgul+ (bb1) 	07/01/2025 	_x86_64_	(32 CPU)

03:13:33 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:17:26 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:27 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:28 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:29 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:30 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:31 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:32 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:33 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:34 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:35 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:36 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:37 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:38 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:39 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:40 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:41 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:42 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:43 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:44 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:45 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:46 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:47 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:48 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:49 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:50 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:51 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:52 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:53 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:54 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:55 AM     0      2735    0.00   99.00    0.00    0.00   99.00     0  io_uring_echo_s
03:17:56 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:57 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:58 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:59 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:18:00 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:18:01 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:18:02 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:18:03 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:18:04 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:18:05 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:18:06 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:18:07 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:18:08 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:18:09 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:18:10 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:18:11 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:18:12 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:18:13 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:18:14 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:18:15 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:18:16 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:18:17 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s

Average:        0      2735    2.58  100.10    0.00    0.03  102.68     -  io_uring_echo_s
